"n_total","package","instance","seed","rep","seconds","status"
5000,"couplr",5,24265527,2,0.792,"ok"
5000,"optmatch",5,24265527,1,12.432,"ok"
5000,"optmatch",5,24265527,2,12.48,"ok"
5000,"MatchIt",5,24265527,1,15.977,"ok"
5000,"MatchIt",5,24265527,2,15.801,"ok"
10000,"couplr",1,20270515,1,3.153,"ok"
10000,"couplr",1,20270515,2,3.163,"ok"
10000,"optmatch",1,20270515,1,60.407,"ok"
10000,"optmatch",1,20270515,2,60.505,"ok"
10000,"MatchIt",1,20270515,1,74.165,"ok"
10000,"MatchIt",1,20270515,2,74.171,"ok"
10000,"couplr",2,21270518,1,3.031,"ok"
10000,"couplr",2,21270518,2,3.042,"ok"
10000,"optmatch",2,21270518,1,60.591,"ok"
10000,"optmatch",2,21270518,2,60.538,"ok"
10000,"MatchIt",2,21270518,1,74.475,"ok"
10000,"MatchIt",2,21270518,2,74.565,"ok"
10000,"couplr",3,22270521,1,3.284,"ok"
10000,"couplr",3,22270521,2,3.285,"ok"
10000,"optmatch",3,22270521,1,59.185,"ok"
10000,"optmatch",3,22270521,2,59.172,"ok"
10000,"MatchIt",3,22270521,1,72.793,"ok"
10000,"MatchIt",3,22270521,2,72.772,"ok"
20000,"couplr",1,20280515,1,10.704,"ok"
20000,"optmatch",1,20280515,1,280.579,"ok"
20000,"MatchIt",1,20280515,1,NA,"error: (from optmatch) result would exceed 2^31-1 bytes"
20000,"couplr",2,21280518,1,12.541,"ok"
20000,"optmatch",2,21280518,1,292.785,"ok"
20000,"MatchIt",2,21280518,1,NA,"error: (from optmatch) result would exceed 2^31-1 bytes"
50000,"couplr",1,20310515,1,76.253,"ok"
50000,"optmatch",1,20310515,1,NA,"timeout"
50000,"MatchIt",1,20310515,1,NA,"timeout"
